atom_N,atom_wight,chemi_pot,In_e,out_e,neg(Nm),i_en(Im),aff,radii,C1,C2,N1,N2,N3,H1,H2,Eform
40,91.224,-8.547,36,4,1.33,640.1,41.1,206,1,0,0,0,0,0,0,22.384
40,91.224,-8.547,36,4,1.33,640.1,41.1,206,0,1,0,0,0,0,0,6.431
40,91.224,-8.547,36,4,1.33,640.1,41.1,206,0,0,1,0,0,0,0,9.187
40,91.224,-8.547,36,4,1.33,640.1,41.1,206,0,0,0,1,0,0,0,1.181
40,91.224,-8.547,36,4,1.33,640.1,41.1,206,0,0,0,0,1,0,0,8.817
40,91.224,-8.547,36,4,1.33,640.1,41.1,206,0,0,0,0,0,0,1,-2.818
22,47.867,-7.712,18,4,1.54,658.8,7.6,176,1,0,0,0,0,0,0,14.386
22,47.867,-7.712,18,4,1.54,658.8,7.6,176,0,1,0,0,0,0,0,4.585
22,47.867,-7.712,18,4,1.54,658.8,7.6,176,0,0,1,0,0,0,0,7.234
22,47.867,-7.712,18,4,1.54,658.8,7.6,176,0,0,0,1,0,0,0,1.052
22,47.867,-7.712,18,4,1.54,658.8,7.6,176,0,0,0,0,1,0,0,9.314
22,47.867,-7.712,18,4,1.54,658.8,7.6,176,0,0,0,0,0,1,0,-2.043
25,54.938,-9.027,18,7,1.55,717.3,0,161,1,0,0,0,0,0,0,2.756
25,54.938,-9.027,18,7,1.55,717.3,0,161,0,0,0,1,0,0,0,3.216
25,54.938,-9.027,18,7,1.55,717.3,0,161,0,0,0,0,1,0,0,7.964
25,54.938,-9.027,18,7,1.55,717.3,0,161,0,0,0,0,0,1,0,0.823
25,54.938,-9.027,18,7,1.55,717.3,0,161,0,0,0,0,0,0,1,1.543
26,55.845,-8.308,18,8,1.83,762.5,15.7,156,0,1,0,0,0,0,0,3.452
26,55.845,-8.308,18,8,1.83,762.5,15.7,156,0,0,1,0,0,0,0,4.869
26,55.845,-8.308,18,8,1.83,762.5,15.7,156,0,0,0,1,0,0,0,1.919
26,55.845,-8.308,18,8,1.83,762.5,15.7,156,0,0,0,0,1,0,0,6.737
26,55.845,-8.308,18,8,1.83,762.5,15.7,156,0,0,0,0,0,1,0,-0.287
27,58.933,-7.09,18,9,1.88,760.4,63.7,152,1,0,0,0,0,0,0,2.494
27,58.933,-7.09,18,9,1.88,760.4,63.7,152,0,1,0,0,0,0,0,3.217
27,58.933,-7.09,18,9,1.88,760.4,63.7,152,0,0,1,0,0,0,0,4.648
27,58.933,-7.09,18,9,1.88,760.4,63.7,152,0,0,0,1,0,0,0,1.234
27,58.933,-7.09,18,9,1.88,760.4,63.7,152,0,0,0,0,0,0,1,0.317
28,58.693,-5.567,18,10,1.91,737.1,112,149,1,0,0,0,0,0,0,2.643
28,58.693,-5.567,18,10,1.91,737.1,112,149,0,1,0,0,0,0,0,3.028
28,58.693,-5.567,18,10,1.91,737.1,112,149,0,0,0,1,0,0,0,0.989
28,58.693,-5.567,18,10,1.91,737.1,112,149,0,0,0,0,1,0,0,4.95
28,58.693,-5.567,18,10,1.91,737.1,112,149,0,0,0,0,0,1,0,-0.541
28,58.693,-5.567,18,10,1.91,737.1,112,149,0,0,0,0,0,0,1,-0.078
29,63.546,-3.716,18,11,1.9,745.5,118.4,145,1,0,0,0,0,0,0,2.904
29,63.546,-3.716,18,11,1.9,745.5,118.4,145,0,1,0,0,0,0,0,3.911
29,63.546,-3.716,18,11,1.9,745.5,118.4,145,0,0,1,0,0,0,0,5.909
29,63.546,-3.716,18,11,1.9,745.5,118.4,145,0,0,0,0,0,1,0,-0.795
29,63.546,-3.716,18,11,1.9,745.5,118.4,145,0,0,0,0,0,0,1,-0.094
30,65.38,-1.266,18,12,1.65,906.4,0,142,1,0,0,0,0,0,0,2.864
30,65.38,-1.266,18,12,1.65,906.4,0,142,0,0,1,0,0,0,0,6.438
30,65.38,-1.266,18,12,1.65,906.4,0,142,0,0,0,1,0,0,0,3.037
30,65.38,-1.266,18,12,1.65,906.4,0,142,0,0,0,0,1,0,0,6.952
30,65.38,-1.266,18,12,1.65,906.4,0,142,0,0,0,0,0,1,0,-1.04
30,65.38,-1.266,18,12,1.65,906.4,0,142,0,0,0,0,0,0,1,-0.32
44,101.07,-9.202,36,8,2.2,710.2,101.3,178,0,1,0,0,0,0,0,6.929
44,101.07,-9.202,36,8,2.2,710.2,101.3,178,0,0,1,0,0,0,0,5.725
44,101.07,-9.202,36,8,2.2,710.2,101.3,178,0,0,0,1,0,0,0,2.992
44,101.07,-9.202,36,8,2.2,710.2,101.3,178,0,0,0,0,1,0,0,8.534
44,101.07,-9.202,36,8,2.2,710.2,101.3,178,0,0,0,0,0,1,0,0.995
44,101.07,-9.202,36,8,2.2,710.2,101.3,178,0,0,0,0,0,0,1,0.936
45,102.91,-7.269,36,9,2.28,719.7,109.7,173,1,0,0,0,0,0,0,10.763
45,102.91,-7.269,36,9,2.28,719.7,109.7,173,0,1,0,0,0,0,0,6.648
45,102.91,-7.269,36,9,2.28,719.7,109.7,173,0,0,1,0,0,0,0,4.835
45,102.91,-7.269,36,9,2.28,719.7,109.7,173,0,0,0,0,1,0,0,6.958
45,102.91,-7.269,36,9,2.28,719.7,109.7,173,0,0,0,0,0,0,1,0.756
46,106.42,-5.177,36,10,2.2,804.4,53.7,169,1,0,0,0,0,0,0,10.609
46,106.42,-5.177,36,10,2.2,804.4,53.7,169,0,0,1,0,0,0,0,6.215
46,106.42,-5.177,36,10,2.2,804.4,53.7,169,0,0,0,1,0,0,0,1.391
46,106.42,-5.177,36,10,2.2,804.4,53.7,169,0,0,0,0,1,0,0,6.714
46,106.42,-5.177,36,10,2.2,804.4,53.7,169,0,0,0,0,0,1,0,-0.275
46,106.42,-5.177,36,10,2.2,804.4,53.7,169,0,0,0,0,0,0,1,-0.089
78,195.08,-6.065,54,24,2.28,870,205.3,177,1,0,0,0,0,0,0,3.918
78,195.08,-6.065,54,24,2.28,870,205.3,177,0,1,0,0,0,0,0,7.07
78,195.08,-6.065,54,24,2.28,870,205.3,177,0,0,0,0,1,0,0,7.319
78,195.08,-6.065,54,24,2.28,870,205.3,177,0,0,0,0,0,1,0,0.949
78,195.08,-6.065,54,24,2.28,870,205.3,177,0,0,0,0,0,0,1,1.172
5,10.81,-6.091,2,3,2.04,800.6,26.7,87,0,1,0,0,0,0,0,-2.118
5,10.81,-6.091,2,3,2.04,800.6,26.7,87,0,0,1,0,0,0,0,0.805
5,10.81,-6.091,2,3,2.04,800.6,26.7,87,0,0,0,1,0,0,0,-0.22
5,10.81,-6.091,2,3,2.04,800.6,26.7,87,0,0,0,0,1,0,0,1.186
5,10.81,-6.091,2,3,2.04,800.6,26.7,87,0,0,0,0,0,1,0,-0.365
5,10.81,-6.091,2,3,2.04,800.6,26.7,87,0,0,0,0,0,0,1,1.53
14,28.085,-5.425,10,4,1.9,786.5,133.6,111,1,0,0,0,0,0,0,-0.37
14,28.085,-5.425,10,4,1.9,786.5,133.6,111,0,1,0,0,0,0,0,6.94
14,28.085,-5.425,10,4,1.9,786.5,133.6,111,0,0,1,0,0,0,0,3.529
14,28.085,-5.425,10,4,1.9,786.5,133.6,111,0,0,0,0,0,1,0,-0.991
14,28.085,-5.425,10,4,1.9,786.5,133.6,111,0,0,0,1,0,0,0,2.805
14,28.085,-5.425,10,4,1.9,786.5,133.6,111,0,0,0,0,0,0,1,0.345
16,32.06,-3.839,10,6,2.58,999.6,200,88,1,0,0,0,0,0,0,4.081
16,32.06,-3.839,10,6,2.58,999.6,200,88,0,1,0,0,0,0,0,5.351
16,32.06,-3.839,10,6,2.58,999.6,200,88,0,0,1,0,0,0,0,3.374
16,32.06,-3.839,10,6,2.58,999.6,200,88,0,0,0,1,0,0,0,1.202
16,32.06,-3.839,10,6,2.58,999.6,200,88,0,0,0,0,1,0,0,5.811
16,32.06,-3.839,10,6,2.58,999.6,200,88,0,0,0,0,0,1,0,-0.184
8,15.999,-4.485,2,6,3.44,1313.9,141,48,1,0,0,0,0,0,0,5.204
8,15.999,-4.485,2,6,3.44,1313.9,141,48,0,1,0,0,0,0,0,4.546
8,15.999,-4.485,2,6,3.44,1313.9,141,48,0,0,1,0,0,0,0,1.291
8,15.999,-4.485,2,6,3.44,1313.9,141,48,0,0,0,1,0,0,0,-0.935
8,15.999,-4.485,2,6,3.44,1313.9,141,48,0,0,0,0,0,0,1,1.673
15,30.974,-5.161,10,5,2.19,1011.8,72,98,1,0,0,0,0,0,0,1.267
15,30.974,-5.161,10,5,2.19,1011.8,72,98,0,1,0,0,0,0,0,2.36
15,30.974,-5.161,10,5,2.19,1011.8,72,98,0,0,1,0,0,0,0,1.776
15,30.974,-5.161,10,5,2.19,1011.8,72,98,0,0,0,1,0,0,0,1.241
15,30.974,-5.161,10,5,2.19,1011.8,72,98,0,0,0,0,1,0,0,4.805
15,30.974,-5.161,10,5,2.19,1011.8,72,98,0,0,0,0,0,0,1,-0.027
13,26.982,-3.746,10,3,1.61,577.5,42.5,118,1,0,0,0,0,0,0,-0.013
13,26.982,-3.746,10,3,1.61,577.5,42.5,118,0,0,0,1,0,0,0,2.04
13,26.982,-3.746,10,3,1.61,577.5,42.5,118,0,0,0,0,1,0,0,7.627
13,26.982,-3.746,10,3,1.61,577.5,42.5,118,0,0,0,0,0,1,0,-1.687
13,26.982,-3.746,10,3,1.61,577.5,42.5,118,0,0,0,0,0,0,1,-1.676
3,6.94,-1.907,2,1,0.98,520.2,59.6,167,0,1,0,0,0,0,0,-0.035
3,6.94,-1.907,2,1,0.98,520.2,59.6,167,0,0,1,0,0,0,0,6.671
3,6.94,-1.907,2,1,0.98,520.2,59.6,167,0,0,0,1,0,0,0,0.199
3,6.94,-1.907,2,1,0.98,520.2,59.6,167,0,0,0,0,1,0,0,3.803
3,6.94,-1.907,2,1,0.98,520.2,59.6,167,0,0,0,0,0,1,0,-4.07
17,35.45,-1.465,10,7,3.16,1251.2,349,79,1,0,0,0,0,0,0,5.298
