atom_N,Radii,chemi_pot,out_e,i1 ,electron affinity (kJ/mol),badar charge (e),binding energy (eV),formation energy (eV),fermi level (eV),bandgap (eV),DG1 (eV),DG2 (eV),DG3 (eV),DG4 (eV)
40,206,-8.547,4,640.1,41.1,-1.747471,-9.5966931,-2.837,-2.6297,1.162,-1.3634408,0.1265369,0.7328709,0.715033
40,206,-8.547,4,640.1,41.1,-1.753288,-9.5445366,-2.818,-2.626,1.192,-1.3744868,0.1617459,0.7146299,0.709111
22,176,-7.712,4,658.8,7.6,-1.456219,-7.6591788,-2.043,-2.6501,1.24,-1.1996728,0.6446019,0.5562999,0.209771
26,156,-8.308,8,762.5,15.7,-1.040294,-4.0625005,-0.287,-2.7124,1.08,-0.4333458,0.6820139,-1.0495601,1.011892
27,152,-7.09,9,760.4,63.7,-0.826499,-3.6842177,-0.048,-2.8277,0.919,-0.5412408,0.7063829,-0.0115871,0.057445
28,149,-5.567,10,737.1,112,-0.74187,-3.84599802,-0.541,-2.7283,0.674,-0.0849068,0.3493459,-1.1788611,1.125422
28,149,-5.567,10,737.1,112,-0.749005,-3.68634583,-0.078,-2.7179,0.459,0.1658962,0.0909879,-0.6573451,0.611461
29,145,-3.716,11,745.5,118.4,-0.712693,-2.782803434,-0.795,-2.737,0.515,0.1697882,-0.1203471,-0.9061961,1.067755
29,145,-3.716,11,745.5,118.4,-0.732177,-2.766174871,-0.094,-2.5708,0.691,0.1833992,-0.7139731,-1.0143401,1.755914
30,142,-1.266,12,906.4,0,-0.044106,-0.294798041,-1.04,-3.9484,1.607,0.2302822,-0.5561951,1.2165529,-0.67964
30,142,-1.266,12,906.4,0,-0.039421,-0.293923247,-0.32,-3.9304,1.603,0.2903862,-1.2025181,1.8543999,-0.731268
46,169,-5.177,10,804.4,53.7,-0.405536,-2.1227043,-0.275,-2.9661,0.355,0.1418092,0.3089219,-1.4319721,1.192241
46,169,-5.177,10,804.4,53.7,-0.444333,-2.0484866,-0.089,-2.9278,0.631,-0.0580658,0.4194929,-1.5998921,1.449465
5,87,-6.091,3,800.6,26.7,-2.066044,-14.6128901,-2.414,-3.6775,1.091,-1.8778668,2.6168659,-1.8631771,1.335178
5,87,-6.091,3,800.6,26.7,-2.069322,-13.0132104,-2.118,-3.5177,0.903,-1.5354418,1.6814899,-0.9536251,1.018577
5,87,-6.091,3,800.6,26.7,-1.658133,-11.11982251,-0.22,-3.4556,0.791,-1.3088428,0.5818529,-0.1358701,1.07386
5,87,-6.091,3,800.6,26.7,-1.176595,-5.339149156,-0.365,-2.9016,1.162,-2.2970798,0.4072949,0.0315319,2.069253
14,111,-5.425,4,786.5,133.6,-2.770533,-13.09751032,-0.37,-3.42,0.998,-2.4359258,0.4752969,-0.2079941,2.379623
14,111,-5.425,4,786.5,133.6,-1.276313,-5.021894474,-0.991,-2.8626,1.172,0.4522632,-0.2827141,0.6049759,-0.563525
16,88,-3.839,6,999.6,200,-0.6005,-2.670440701,-0.184,-2.9619,1.314,0.3088602,-0.5954531,1.2639609,-0.766368
8,48,-4.485,6,1313.9,141,0.969135,-8.67757056,-0.935,-2.5859,1.03,-2.0315068,2.6724839,-1.9175711,1.487594
15,98,-5.161,5,1011.8,72,-1.10243,-4.798909755,-0.982,-2.7677,0.532,0.2146292,0.3062959,0.3741399,-0.684065
15,98,-5.161,5,1011.8,72,-0.847076,-4.385129727,-0.027,-2.7583,0.611,0.1642002,-0.1272371,0.6748899,-0.500853
13,118,-3.746,3,577.5,42.5,-2.332755,-11.15164119,-0.013,-3.3505,0.825,-3.2755308,-0.5979831,1.0861999,2.998314
13,118,-3.746,3,577.5,42.5,-0.91045,-3.625886462,-1.687,-2.7889,1.502,-0.3465378,0.2165649,0.5956019,-0.254629
13,118,-3.746,3,577.5,42.5,-0.909369,-3.628992884,-1.676,-2.7958,1.502,-0.3106448,0.1226279,0.6537749,-0.254758
3,167,-1.907,1,520.2,59.6,-0.828046,-4.277694144,-0.035,-2.3995,1.112,-1.7875508,1.2915129,-0.6011781,1.308216
3,167,-1.907,1,520.2,59.6,-0.897005,-4.158347567,-4.07,-2.6677,1.454,0.1192952,1.6432389,-0.9382851,-0.613249
17,79,-1.465,7,1251.2,349,0.436571,-0.880377996,-1.463,-4.8034,1.698,0.2691722,-1.1412971,1.5430709,-0.459946
17,79,-1.465,7,1251.2,349,0.439228,-0.874486507,-1.486,-4.7903,1.713,0.2616552,-1.1458221,1.6036669,-0.5085
14,111,-5.425,4,786.5,133.6,-1.26064,-4.686275281,0.345,-2.6878,1.403,-0.1405148,-0.9938811,2.0543889,-0.708993
3,167,-1.907,1,520.2,59.6,-0.88233,-5.356420893,0.199,-3.1648,0.619,-1.9752948,3.0773999,-2.9012931,2.010188
27,152,-7.09,9,760.4,63.7,-0.90281,-3.3850703,0.317,-2.6866,1.23,-0.0700228,0.0832689,-1.3197361,1.51749
3,167,-1.907,1,520.2,59.6,-0.895386,-4.160885,-4.062,-2.6777,1.469,0.0340962,1.8146939,-1.0404931,-0.597297
22,176,-7.712,4,658.8,7.6,-1.454326,-7.404593,-2.046,-2.6455,1.208,-1.2555528,0.6796049,0.5968589,0.190089
